ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
B6ju5z,2024-12-12T13:04:59.042000,718.446,162,34,0.9620253164556962,7,0.4857142857142857,0.6666666666666666,9,10,14.087999999999994,,,0.22548667540775505,0.17647058823529413,0.5532928014074824,0.7285714285714286,0.20125229238939296,0.25550345085453446,4.327745066860223,0.5923566878980892,3.881715802714036,3.854694585439985,3.887506063558476,0.11764705882352944,0.16666666666666663,0.1071428571428571,4,0.5714285714285714,4.200820429931816,0.7770700636942676,3.991214229494297,3.987553749339528,3.9919986180988913,0.2647058823529411,0.33333333333333337,0.25,2,0.2857142857142857
p3juAg,2024-12-26T09:29:35.982000,719.781,254,90,0.9146341463414634,13,1,1,5,9,25.29600000000005,,,0.35288511366651804,0.15555555555555556,0.5379052795225217,1,0.338349166,0.36980580685313313,4.174063305322416,0.4403292181069959,3.6471094113145646,3.696696934507364,3.637974867568522,0.19277108433734935,0.1428571428571429,0.19444444444444442,8,0.6153846153846154,4.1294485688349365,0.617283951,3.772003389068606,3.756779408558406,3.7748078065310118,0.32530120481927716,0.3571428571428571,0.3055555555555556,6,0.46153846153846156
fKsxuz,2025-01-20T09:06:41.559000,704.341,183,49,0.8192090395480226,9,0.8571428571428571,1,9,8,15.038000000000011,,,0.259817333,0.1836734693877551,0.590921159,0.8571428571428571,0.24266596189423606,0.284592772,4.079256098778973,0.3505747126436781,3.478142866481526,3.241163292070278,3.531463270724057,0.13636363636363635,0.11111111111111116,0.1282051282051282,8,0.8888888888888888,4.105184481745866,0.5402298850574713,3.6845529208262877,3.5199914062474256,3.7215792616065313,0.2727272727272727,0.11111111111111116,0.28205128205128205,7,0.7777777777777778
000001,2024-07-06T21:45:54.782000,719.202,298,41,0.9166666666666666,8,0.5208333333333333,0.5,15,15.5,8.132000000000001,,,0.4143481247271281,0.1951219512195122,0.5780698607623448,1.0416666666666665,0.4040899677449616,0.4284024214623021,4.1596606451877065,0.4358974358974359,3.3581061700930106,3.2982743965707177,3.372610842462052,0.076923077,0.125,0.060606061,6,0.75,4.145728582364326,0.6703296703296704,3.6434259468691983,3.579527013990931,3.658916597,0.15384615384615385,0.125,0.1515151515151515,4,0.5
6m9vuK,2025-12-19T15:52:58.312000,719.215,181,23,0.9485714285714286,3,0.5833333333333333,0.5,35,10,65.13499999999999,,,0.2516632717615734,0.5217391304347826,0.7878200538086663,1.1666666666666665,0.2594367927258865,0.2228003381322778,4.190438129202842,0.4885057471264368,3.312162026137273,3.4374400725862184,3.175495066374789,0.043478261,0,0.090909091,3,1,4.1237335341967665,0.6206896551724138,3.6246137619607786,3.732578261497427,3.506834307920798,0.17391304347826086,0.25,0.090909091,3,1
65FZVx,2025-01-20T12:48:37.253000,717.44,300,25,0.8408304498269896,5,0.28,0.6190476190476191,36,21,46.15100000000007,,,0.41815343443354147,0.28,0.713258252,0.45230769230769236,0.3986555147346205,0.4666537040637758,4.123987982863257,0.4014084507042254,3.1406469384499296,2.717364763429674,3.305256673180028,0,0,0,4,0.8,4.124521004015301,0.63028169,3.4751338280175528,3.0947045897388565,3.6230785317926006,0.125,0,0.16666666666666663,2,0.4
jUleiG,2025-01-02T12:13:59.382000,713.062,278,12,0.8859315589353612,2,0.3181818181818182,0.19047619047619047,60,42,18.14500000000004,,,0.3898679217234967,0.4166666666666667,0.655115544,1.6704545454545454,0.41529483792797844,0.3415689399977229,4.288129027416038,0.5977011494252873,3.9083986848141428,3.534704627169134,4.175323011703435,0.25,0,0.4285714285714286,1,0.5,4.193421762,0.7739463601532567,3.975496252000561,3.8509966740708834,4.064424521950331,0.33333333333333337,0.19999999999999996,0.4285714285714286,0,0
 bDx2rX,2026-01-21T16:36:01.780000,719.386,218,54,0.8994708994708994,11,0.6333333333333333,0.6666666666666666,8,11,13.976999999999975,,,0.30303620031526884,0.14814814814814814,0.5276402376471047,0.95,0.2845272500704732,0.32371126132621564,4.3562217886738805,0.6382978723404256,3.9278619233440284,3.7242797294150614,3.9632675222881972,0.2857142857142857,0.125,0.30952380952380953,5,0.45454545454545453,4.200023358209642,0.8031914893617021,3.929282551565296,3.823256187807715,3.9477219191753097,0.36734693877551017,0.125,0.40476190476190477,3,0.2727272727272727
7oW98a,2024-12-05T12:52:35.407000,718.892,375,44,0.8767507,10,0.3666666666666667,0.4222222222222222,17,18.5,14.649999999999977,,,0.5216360732905638,0.13636363636363635,0.4958700333290676,0.868421053,0.5301884834084666,0.5132237904060263,4.341792984,0.615819209,4.275744190800371,3.591537045233751,4.383776898,0.38636363636363635,0,0.4473684210526315,1,0.1,4.191257267642354,0.7768361581920904,4.135250720403811,3.7872014160131413,4.190205873728653,0.5681818181818181,0.16666666666666663,0.631578947,0,0
V25QLT4f,2025-01-13T12:46:19.130000,713.963,216,29,0.861244019,5,0.625,0.4722222222222222,14,17,20.086000000000013,,,0.3025366860747686,0.2413793103448276,0.5223309891408938,1.3235294117647058,0.2761949453643494,0.33134137544789727,4.154245794718937,0.3921568627450981,3.392142920720269,3.142350486033275,3.4716223317570396,0.1071428571428571,0,0.1428571428571429,3,0.6,4.123253616388745,0.5833333333333333,3.583722294540891,3.443274291511993,3.628410295504631,0.1785714285714286,0.1428571428571429,0.19047619047619047,2,0.4
mkbvhj,2025-12-24T14:46:21.042000,718.9,152,48,0.9782608695652174,8,0.6666666666666666,1,5,6.5,15.391999999999996,,,0.21143413548476842,0.2708333333333333,0.6092043399638335,0.6666666666666666,0.21006628504624889,0.21356645298156557,4.253390229206903,0.5620437956204379,3.841585589203616,3.628314063012307,3.920800727503244,0.27083333333333337,0.15384615384615385,0.3142857142857143,5,0.625,4.193937853496847,0.8102189781021898,3.9037491395652286,3.8170122689098736,3.9359656915229313,0.45833333333333337,0.3076923076923077,0.5142857142857142,1,0.125
d,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,
uNzthJ,2024-12-17T20:11:41.061000,718.029,304,36,0.952054795,7,0.5357142857142857,0.5,23,15,16.451000000000008,,,0.4233812283347887,0.2222222222222222,0.6839863013889411,1.0714285714285714,0.42962848335036913,0.4098595459813933,4.3052534687809745,0.5807560137457044,3.423065351671782,3.6158962592186645,3.3679708066583864,0.055555556,0.25,0,4,0.5714285714285714,4.181967930565199,0.7422680412371134,3.632222978,3.771599957498552,3.5924009834678565,0.19444444444444442,0.375,0.1428571428571429,3,0.42857142857142855
ZCOnQ5,2024-12-30T12:21:21.422000,719.588,303,23,0.8550185873605948,3,0.30952380952380953,0.5,47.5,29,12.222999999999999,,,0.42107428139435343,0.391304348,0.7331153382213155,0.6190476190476191,0.41513361046819114,0.4373929298557125,4.296620944641068,0.550561798,3.6406384176618793,3.5572824547669004,3.694224393808652,0.086956522,0,0.1428571428571429,3,1,4.2006953096647415,0.7790262172284644,3.8813692544906977,3.9217514813133882,3.8554092515332536,0.21739130434782605,0.11111111111111116,0.2857142857142857,1,0.3333333333333333
bvj9dk,2025-12-08T20:38:22.289000,675.147,154,37,0.9139072847682119,5,0.5,0.75,8.5,24,54.44,,,0.22809847336950323,0.081081081,0.39366834185740285,0.6666666666666666,0.1768353249255034,0.261381708,4.201762342780821,0.4866666666666667,3.6411972347400994,3.596477178580612,3.645143122048289,0.19999999999999996,0,0.21875,4,0.8,4.150785495333162,0.62,3.7165304908494776,3.7255495351678416,3.715734692821388,0.37142857142857144,0.33333333333333337,0.375,2,0.4
